id,modelo,ano,cor,cliente_id,created_at,updated_at,tipo,marca,voltagem,observacoes
244,608 D,1980,,372,2026-01-28 18:52:53.002876+00,2026-01-28 18:52:53.002876+00,3/4,Mercedes-Benz,12V,
245,608D,1980,,373,2026-01-28 19:01:08.145376+00,2026-01-28 19:01:08.145376+00,3/4,Mercedes-Benz,12V,
246,608D,1980,,374,2026-01-28 19:04:35.375735+00,2026-01-28 19:04:35.375735+00,3/4,Mercedes-Benz,12V,
247,Carreta Trucada Artesanal,2025,,375,2026-01-29 21:03:30.671509+00,2026-01-29 21:03:30.671509+00,Truck,Outra,12V,⚠️ PROPOSTA PRELIMINAR - Dados do veículo a confirmar com o cliente
248,Carreta Trucada Artesanal,2025,,376,2026-01-29 21:07:23.183699+00,2026-01-29 21:07:23.183699+00,Truck,Outra,12V,"⚠️ PROPOSTA PRELIMINAR - Dados do veículo a confirmar com o cliente
 Cliente vai instalar garra florestal"
249,Carreta Trucada Artesanal,2025,,377,2026-01-29 22:29:23.765285+00,2026-01-29 22:29:23.765285+00,Truck,Outra,12V,Cliente vai instalar uma garra florestal
250,cargo 1319,2013,,378,2026-01-29 23:31:03.973667+00,2026-01-29 23:31:03.973667+00,Toco,Ford,24V,
251,Cargo 1319,2013,,379,2026-01-29 23:35:55.931845+00,2026-01-29 23:35:55.931845+00,Toco,Ford,24V,
252,8-150,2001,,381,2026-02-04 01:10:59.621396+00,2026-02-04 01:10:59.621396+00,3/4,Volkswagen,12V,
253,8-150,2002,,382,2026-02-04 01:41:45.454964+00,2026-02-04 01:41:45.454964+00,3/4,Volkswagen,12V,
254,8-150,2002,,383,2026-02-04 10:47:04.715981+00,2026-02-04 10:47:04.715981+00,3/4,Volkswagen,12V,
